"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"BEL00082";"2021-12-07";"12:00";0.3;"NAPROXEN";0;NA;0.0202;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"ATENOLOL";0;NA;0.053;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.111;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"DICLOFENAC";0;NA;0.196;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"NAPROXEN";0;NA;0.072;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"SMX";0;NA;0.0573;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"ATENOLOL";0;NA;0.0458;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0578;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"DICLOFENAC";0;NA;0.115;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"NAPROXEN";0;NA;0.07;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"SMX";0;NA;0.0356;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"ATENOLOL";0;NA;0.0288;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0344;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"DICLOFENAC";0;NA;0.064;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"NAPROXEN";0;NA;0.059;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"SMX";0;NA;0.0226;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"ATENOLOL";0;NA;0.0344;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.085;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"DICLOFENAC";0;NA;0.065;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"NAPROXEN";0;NA;0.037;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"SMX";0;NA;0.047;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0676;"µg/l";"Fair"
