Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
BTBZLPTHAL8;Phthalate;Butyl Benzyl Phthalate;/Chemical/Organic/PAH;201-622-7;85-68-7;34595;C19H20O4 | Benzyl butyl benzene-1,2-dicarboxylate | Also known as BBP, Palatinol BB, Unimoll BB, Sicol 160, or Santicizer 160. It was mostly used as a plasticizer for PVC. It is considered a toxicant.
BUTYLATE;Thiocarbamate;Butylate;/Chemical/Organic/Pesticide;217-916-3;2008-41-5;34594;S-ethyl N,N-bis(2-methylpropyl)carbamothioate | Butylate belongs to the thiocarbamate chemical class. It is classified by the U.S. Environmental Protection Agency (EPA) as a general use herbicide, with applications limited to corn fields. Products containi
BZAATR;Tetraphene;1,2-Benzanthracene;/Chemical/Organic/PAH;200-280-6;56-55-3;51348;C18H12
BZBFLA;Benzo[b]fluoranthene;2,3-Benzofluoranthene;/Chemical/Organic/PAH;205-911-9;205-99-2;34565;C20H12, benzo[e]acephenanthrylene
BZGHIPYL;Benzo[ghi]perylene;1,12-Benzoperylene;/Chemical/Organic/PAH;205-883-8;191-24-2;34568;C22H12
BZKFLA;Benzo[k]fluoranthene;11,12-Benzofluoranthene;/Chemical/Organic/PAH;205-916-6;207-08-9;34569;C20H12
Ba-Dis;Barium;Barium - Dissolved;/Chemical/Inorganic/Metal;231-149-1;7440-39-3;32595;Barium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ba-Ext;Barium;Barium - Extractable;/Chemical/Inorganic/Metal;231-149-1;7440-39-3;32595;Barium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ba-Tot;Barium;Barium - Total;/Chemical/Inorganic/Metal;231-149-1;7440-39-3;32595;Barium fraction in an unfiltered sample after vigorous digestion.
Be-Dis;Beryllium;Beryllium - Dissolved;/Chemical/Inorganic/Metal;231-150-7;7440-41-7;30501;Beryllium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Be-Ext;Beryllium;Beryllium - Extractable;/Chemical/Inorganic/Metal;231-150-7;7440-41-7;30501;Beryllium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Be-Tot;Beryllium;Beryllium - Total;/Chemical/Inorganic/Metal;231-150-7;7440-41-7;30501;Beryllium fraction in an unfiltered sample after vigorous digestion.
Bi-Dis;Bismuth;Bismuth - Dissolved;/Chemical/Inorganic/Metal;231-177-4;7440-69-9;33301;Bismuth fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Bi-Ext;Bismuth;Bismuth - Extractable;/Chemical/Inorganic/Metal;231-177-4;7440-69-9;33301;Bismuth fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Bi-Tot;Bismuth;Bismuth - Total;/Chemical/Inorganic/Metal;231-177-4;7440-69-9;33301;Bismuth fraction in an unfiltered sample after vigorous digestion.
Br-Dis;Bromide;Bromide - Dissolved;/Chemical/Inorganic/Non-Metal;233-113-0;24959-67-9;15858;
Br-Tot;Bromide;Bromide - Total;/Chemical/Inorganic/Non-Metal;233-113-0;24959-67-9;15858;
Br2-Dis;Bromine;Bromine - Dissolved;/Chemical/Inorganic/Non-Metal;231-778-1;7726-95-6;29224;Bromine fraction that pass through a 0.45 µm membrane filter.
CAPTAFOL;Captafol;Captafol;/Chemical/Organic/Pesticide;219-363-3;2425-06-1;81938;2-(1,1,2,2-Tetrachloroethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione | Captafol is a fungicide. It is used to control almost all fungal diseases of plants except powdery mildews. It is believed to be a human carcinogen, and production for use as a 
CAPTAN;Captan;Captan;/Chemical/Organic/Pesticide;205-087-0;133-06-2;34608;(3aR,7aS)-2-[(Trichloromethyl)sulfanyl]-3a,4,7,7a-tetrahydro-1H-isoindole-1,3(2H)-dione | A dicarboximide that is 3a,4,7,7a-tetrahydrophthalimide in which the hydrogen attached to the nitrogen is replaced by a trichloromethyl group. A non-systemic fungicid
CARBAMAZEPINE;Urea;Carbamazepine;/Chemical/Organic/Pharmaceuticals;206-062-7;298-46-4;3387;5H-dibenzo[b,f]azepine-5-carboxamide - Carbamazepine, sold under the brand name Tegretol among others, is an anticonvulsant medication used in the treatment of epilepsy and neuropathic pain. It is used as an adjunctive treatment in schizophrenia along with
CARBARYL;Carbaryl;Carbaryl;/Chemical/Organic/Pesticide;200-555-0;63-25-2;339;1-naphthyl methylcarbamate | Carbaryl is a chemical in the carbamate family used chiefly as an insecticide. It is a white crystalline solid commonly sold under the brand name Sevin, a trademark of the Bayer Company. It remains the third-most-used insectici
CARBAZOLE;Carbazole;9H-carbazole;/Chemical/Organic;201-696-0;86-74-8;27543;C12H9N
CARBETAMIDE;Carbamate;Carbetamide;/Chemical/Organic/Pesticide;240-286-6;16118-49-3;3394;(2S)-1-(ethylamino)-1-oxopropan-2-yl phenylcarbamate
CARBOFURAN;Benzofuran;Carbofuran;/Chemical/Organic/Pesticide;216-353-0;1563-66-2;34611;C12H15NO3 | 2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-yl methylcarbamate | One of the most toxic carbamate pesticides. It is marketed under the trade names Furadan, by FMC Corporation and Curaterr 10 GR, by Bayer, among several others. It is used to control 
CBZH;Benzene Chloride;Chlorobenzene;/Chemical/Organic/Volatile Organic Compound;203-628-5;108-90-7;28097;C6H5Cl
CCl4;Carbon Tetrachloride;Tetrachloromethane;/Chemical/Organic/Volatile Organic Compound;200-262-8;56-23-5;27385;Carbon tetrachloride, also known by many other names (such as tetrachloromethane, also recognised by the IUPAC, carbon tet in the cleaning industry, Halon-104 in firefighting, and Refrigerant-10 in HVACR) is an organic compound with the chemical formula CC
CHLORANTRANILIPROLE;Neonicotinoid;Chlorantraniliprole;/Chemical/Organic/Pesticide;610-489-8;500008-45-7;67113;5-bromo-N-[4-chloro-2-methyl-6-(methylcarbamoyl)phenyl]-2-(3-chloropyridin-2-yl)pyrazole-3-carboxamide |
CHLORDANE;Chlordane;Chlordane;/Chemical/Organic/POP;200-349-0;57-74-9;34623;C10H6Cl8 | 1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-1H-4,7-methanoindene - Part of a similarly named pesticide mixture resulting from synthesis (main components- heptachlor, chlordane, and nonachlor). These highly chlorinated cyclodienes were cla
CHLORFENVINPHOS;Chlorfenvinphos;[(EZ)-2-Chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate;/Chemical/Organic/Pesticide;207-432-0;470-90-6;38598;C12H14Cl3O4P | Chlorfenvinphos is the common name of an organophosphorus compound that was widely used as an insecticide and an acaricide.[1] The molecule itself can be described as an enol ester derived from dichloroacetophenone and diethylphosphonic acid
CHLORIDAZON;Organochlorine;Chloridazon;/Chemical/Organic/Pesticide;216-920-2;1698-60-8;81838;5-amino-4-chloro-2-phenylpyridazin-3(2H)-one - Choridazon is a herbicide for broad-leaved weeds and grass control. It has a moderate aqueous solubility and is not considered to be volatile. It is moderately persistent in soil system and can also be persist
CHLORIMURON;Sulfonylurea;Chlorimuron;/Chemical/Organic/Pesticide;;99283-00-8;81953;2-[(4-chloro-6-methoxypyrimidin-2-yl)carbamoylsulfamoyl]benzoic acid
CHLOROBROMOMETHANE;Bromochloromethane;Bromo(chloro)methane;/Chemical/Organic/Halocarbon;200-826-3;74-97-5;17194;Bromochloromethane or methylene bromochloride and Halon 1011 is a mixed halomethane. It is a heavy low-viscosity liquid with refractive index 1.4808. It was invented for use in fire extinguishers by the Germans during the mid-1940s, in an attempt to create
CHLORODIBROMOMETHANE;Dibromochloromethane;Dibromo(chloro)methane;/Chemical/Organic/Halocarbon;204-704-0;124-48-1;34627;Dibromochloromethane is a colorless to yellow, heavy and nonflammable compound with formula CHBr2Cl. It is a trihalomethane. The substance has a sweet odour. Small quantities of dibromochloromethane are produced in ocean by algae. (source: https://en.wikip
CHLOROXURON;Phenylurea;Chloroxuron;/Chemical/Organic/Pesticide;217-843-7;1982-47-4;822;N'-[4-(4-Chlorophenoxy)phenyl]-N,N-dimethylurea | Chloroxuron is an organic compound with the chemical formula C15H15ClN2O2 used as an herbicide. It is classified as an extremely hazardous substance in the United States as defined in Section 302 of the U.S
CHLORPYRIFOS;Chlorpyrifos;Chlorpyrifos-ethyl;/Chemical/Organic/Pesticide;220-864-4;2921-88-2;34631;O,O-Diethyl O-3,5,6-trichloropyridin-2-yl phosphorothioate | Chlorpyrifos is an organophosphate pesticide used on crops, animals, and buildings, and in other settings, to kill a number of pests, including insects and worms. It acts on the nervous systems o
CHLORSULFURON;Sulfonylurea;Chlorsulfuron;/Chemical/Organic/Pesticide;;64902-72-3;3652;2-chloro-N-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoyl]benzenesulfonamide
CHLORTOLURON;Phenylurea;Chlortoluron;/Chemical/Organic/Pesticide;239-592-2;15545-48-9;81981;N'-(3-Chloro-4-methylphenyl)-N,N-dimethylurea, with the common name Chlortoluron is of the phenylurea class of herbicides used to control broadleaf and annual grass weeds in cereal crops. (source: https://en.wikipedia.org/wiki/Chlortoluron)
CL-ISOPROPYLETHER;Chloroalkanes;Bis(2-chloroisopropyl) ether;/Chemical/Organic/Volatile Organic Compound;254-554-5;39638-32-9;;Bis(2-chloroisopropyl) ether is used as a solvent for lacquers, resins and oils, and as a soil fumigant, wetting agent, cleaning compound and textile finishing agent.
CLOMAZONE;Oxazolidinone;Clomazone;/Chemical/Organic/Pesticide;617-258-0;81777-89-1;3751;2-[(2-chlorophenyl)methyl]-4,4-dimethyl-3-isoxazolidinone | Clomazone is an agricultural herbicide, and has been the active ingredient of products named Command and Commence. The molecule consists of a 2-chlorobenzyl group bound to a N-O heterocycle called
CLOTHIANIDINE;Neonicotinoid;Clothianidin;/Chemical/Organic/Pesticide;433-460-1;210880-92-5;39178;1-(2-Chloro-1,3-thiazol-5-ylmethyl)-3-methyl-2-nitroguanidine
CLPHENOL;Phenol;2-Chlorophenol;/Chemical/Organic/Phenyl;202-433-2;95-57-8;47083;Besides occasional use as a disinfectant, 2-Chlorophenol has few applications.
CN-Free;Cyanide;Cyanide - Free;/Chemical/Inorganic/Non-Metal;200-821-6;57-12-5;17514;Sum of hydrogen cyanide (HCN) and cyanide ion (CN-) in a sample.
CN-Tot;Cyanide;Cyanide - Total;/Chemical/Inorganic/Non-Metal;200-821-6;57-12-5;17514;Sum of all cyanide-containing compounds in a sample, including free cyanide, weak acid hydrolyzable (WAD) cyanide compounds and strong metal cyanide complexes.
CNONACHLOR;Nonachlor;cis-Nonachlor;/Chemical/Organic/POP;200-835-2;5103-73-1;;C10H5Cl9
CO2;Carbon Dioxide;Free Carbon Dioxide;/Chemical/Inorganic/Dissolved Gas;204-696-9;124-38-9;16526;Dissolved gaseous carbon dioxide in sample.
CO3;Carbonate;Trioxidocarbonate(2-);/Chemical/Nutrient/Carbon;;3812-32-6;41609;In aqueous solution, carbonate, bicarbonate, carbon dioxide, and carbonic acid exist together in a dynamic equilibrium. In strongly basic conditions, the carbonate ion predominates, while in weakly basic conditions, the bicarbonate ion is prevalent. In mor
COD;Oxygen Demand;Chemical Oxygen Demand;/Chemical/Oxygen Demand;;;;A measure of oxygen consumption during decomposition of organic and inorganic substances by a chemical oxidant. Reported as mg O2/L.
COL-App;Color;Apparent Color;/Physical/Optical;;;;Apparent color includes not only color due to substances in solution, but also color due to suspended matter.
COL-True;Color;True Color;/Physical/Optical;;;;True color refers to the color of water from which the suspended material has been removed.
CP;Cypermethrin;Cypermethrin;/Chemical/Organic/Pesticide;257-842-9;52315-07-8;4042;cyano(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate - Cypermethrin is a synthetic pyrethroid used as an insecticide in large-scale commercial agricultural applications as well as in consumer products for domestic purpos
CPSM;Pyridines;Chlorpyriphos-methyl;/Chemical/Organic/Pesticide;227-011-5;5598-13-0;34632;O,O-dimethyl O-(3,5,6-trichloropyridin-2-yl) phosphorothioate | Chlorpyrifos is an insecticide that is a white crystal-like solid with a strong odor. It does not mix well with water, so it is usually mixed with oily liquids before it is applied to crops or
CRYH;Chrysene;1,2-Benzophenanthrene;/Chemical/Organic/PAH;205-923-4;218-01-9;51687;C18H12
CYANAZINE;Triazine;Cyanazine;/Chemical/Organic/Pesticide;244-544-9;21725-46-2;38069;2-Chloro-4-(1-cyano-1-methylethyl-amino)-6-ethylamine-1,3,5-triazine | Cyanazine is a herbicide that belongs to the group of triazines. Cyanazine inhibits photosynthesis and is therefore used as a herbicide. (source: https://en.wikipedia.org/wiki/Cyanazine
CYBUTRYNE;Triazine;Cybutryne;/Chemical/Organic/Pesticide;248-872-3;28159-98-0;5962;N-tert-butyl-N'-cyclopropyl-6-(methylsulfanyl)-1,3,5-triazine-2,4-diamine - Cybutyrn is a phytoxic biocide. It has a low aqueous solubility and is non-volatile. It is moderately toxic to fish, aquatic invertebrates and plant. It is highly toxic to algae. N
CYHALOTHRIN;Pyrethroid ester;Cyhalothrin;/Chemical/Organic/Pesticide;268-450-2;68085-85-8;4035;cyano(3-phenoxyphenyl)methyl 3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl]-2,2-dimethylcyclopropanecarboxylate | Cyhalothrin is the ISO common name for an organic compound that, in specific isomeric forms, is used as a pesticide. It is a pyrethroid, a cl
CYPROCONAZOLE;Triazole;Cyproconazole;/Chemical/Organic/Pesticide;619-020-1;94361-06-5;81758;"(2RS,3RS;2RS,3SR)-2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol | Cyproconazole is a commonly used fungicide. It is moderately soluble in water and readily soluble in many organic solvents. It is a volatile substance. Based on its ph"
Ca-Dis;Calcium;Calcium - Dissolved;/Chemical/Inorganic/Metal;231-179-5;7440-70-2;22984;Calcium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ca-Ext;Calcium;Calcium - Extractable;/Chemical/Inorganic/Metal;231-179-5;7440-70-2;22984;Calcium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ca-Tot;Calcium;Calcium - Total;/Chemical/Inorganic/Metal;231-179-5;7440-70-2;22984;Calcium fraction in an unfiltered sample after vigorous digestion.
Cd-Dis;Cadmium;Cadmium - Dissolved;/Chemical/Inorganic/Metal;231-152-8;7440-43-9;22977;Cadmium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Cd-Ext;Cadmium;Cadmium - Extractable;/Chemical/Inorganic/Metal;231-152-8;7440-43-9;22977;Cadmium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Cd-Sus;Cadmium;Cadmium - Suspended;/Chemical/Inorganic/Metal;231-152-8;7440-43-9;22977;Cadmium fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Cd-Tot;Cadmium;Cadmium - Total;/Chemical/Inorganic/Metal;231-152-8;7440-43-9;22977;Cadmium fraction in an unfiltered sample after vigorous digestion.
Ce-Dis;Cerium;Cerium - Dissolved;/Chemical/Inorganic/Metal;231-154-9;7440-45-1;33369;Cerium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ce-Ext;Cerium;Cerium - Extractable;/Chemical/Inorganic/Metal;231-154-9;7440-45-1;33369;Cerium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ce-Tot;Cerium;Cerium - Total;/Chemical/Inorganic/Metal;231-154-9;7440-45-1;33369;Cerium fraction in an unfiltered sample after vigorous digestion.
Chl-a;Chlorophyll A;Chlorophyll A;/Biological/Pigment;207-536-6;479-61-8;1823;C55H72MgN4O5, [(2E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-yl (22R,17S,18S)-7-ethyl-21,22,17,18-tetrahydro-22-(methoxycarbonyl)-3,8,13,17-tetramethyl-21-oxo-12-ethenylcyclopenta[at]porphyrin-18-propanoato(2-)]magnesium
Cl-Dis;Chloride;Chloride - Dissolved;/Chemical/Inorganic/Non-Metal;;16887-00-6;17996;Chloride fraction that pass through a 0.45 µm membrane filter.
Cl-Tot;Chloride;Chloride - Total;/Chemical/Inorganic/Non-Metal;;16887-00-6;17996;Chloride fracton in an unfiltered sample.
Co-Dis;Cobalt;Cobalt - Dissolved;/Chemical/Inorganic/Metal;231-158-0;7440-48-4;27638;Cobalt fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Co-Ext;Cobalt;Cobalt - Extractable;/Chemical/Inorganic/Metal;231-158-0;7440-48-4;27638;Cobalt fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Co-Sus;Cobalt;Cobalt - Suspended;/Chemical/Inorganic/Metal;231-158-0;7440-48-4;27638;Cobalt fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Co-Tot;Cobalt;Cobalt - Total;/Chemical/Inorganic/Metal;231-158-0;7440-48-4;27638;Cobalt fraction in an unfiltered sample after vigorous digestion.
Cr-Dis;Chromium;Chromium - Dissolved;/Chemical/Inorganic/Metal;231-157-5;7440-47-3;28073;Trivalent and Hexavalent Chromium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Cr-Ext;Chromium;Chromium - Extractable;/Chemical/Inorganic/Metal;231-157-5;7440-47-3;28073;Trivalent and Hexavalent Chromium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Cr-Tot;Chromium;Chromium - Total;/Chemical/Inorganic/Metal;231-157-5;7440-47-3;28073;Trivalent and Hexavalent Chromium fraction in an unfiltered sample after vigorous digestion.
Cr-VI;Chromium;Chromium - Hexavalent;/Chemical/Inorganic/Metal;606-053-1;18540-29-9;33007;Chromium in the +6 oxidation state.
Cs-Dis;Caesium;Caesium - Dissolved;/Chemical/Inorganic/Metal;231-155-4;7440-46-2;155919;Caesium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Cs-Ext;Caesium;Caesium - Extractable;/Chemical/Inorganic/Metal;231-155-4;7440-46-2;155919;Caesium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Cs-Tot;Caesium;Caesium - Total;/Chemical/Inorganic/Metal;231-155-4;7440-46-2;155919;Caesium fraction in an unfiltered sample after vigorous digestion.
Cu-Dis;Copper;Copper - Dissolved;/Chemical/Inorganic/Metal;231-159-6;7440-50-8;28694;Copper fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Cu-Ext;Copper;Copper - Extractable;/Chemical/Inorganic/Metal;231-159-6;7440-50-8;28694;Copper fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Cu-Sus;Copper;Copper - Suspended;/Chemical/Inorganic/Metal;231-159-6;7440-50-8;28694;Copper fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Cu-Tot;Copper;Copper - Total;/Chemical/Inorganic/Metal;231-159-6;7440-50-8;28694;Copper fraction in an unfiltered sample after vigorous digestion.
DALAPON;Dalapon;2,2-Dichloropropanoic Acid;/Chemical/Organic/Pesticide;200-923-0;75-99-0;81859;C3H4Cl2O2 | Dalapon is a selective herbicide used to control perennial grasses. The major use of dalapon is on food crops including sugarcane and sugar beets. The National Institute for Occupational Safety and Health in the United States has identified it 
DBA;Dibenz[a,h]anthracene;1,2:5,6-Dibenzoanthracene;/Chemical/Organic/PAH;200-181-8;53-70-3;35299;C22H14
DBA-Sus;Dibenz[a,h]anthracene;1,2:5,6-Dibenzoanthracene in Suspended Matter;/Chemical/Organic/PAH;200-181-8;53-70-3;35299;C22H14
DBCP;Dibromochloropropane;1,2-Dibromo-3-chloropropane;/Chemical/Organic/Pesticide;202-479-3;96-12-8;34044;1,2-Dibromo-3-chloropropane, (dibromochloropropane) better known as DBCP, is the organic compound with the formula BrCH(CH2Br)(CH2Cl). It is a dense colorless liquid although commercial samples often appear amber or even brown. It is the active ingredient 
DC;Carbon;Total Dissolved Carbon;/Chemical/Nutrient/Carbon;231-153-3;7440-44-0;27594;Inorganic and organic carbon fractions that pass through a 0.45 µm filter.
DCB;Dichlorobenzene;Dichlorobenzene;/Chemical/Organic/Halocarbon;246-837-7;25321-22-6;23697;Mix of Dichlorobenzene Isomers.
DCBN;Dichlobenil;2,6-Dichlorobenzonitrile;/Chemical/Organic/Pesticide;214-787-5;1194-65-6;943;
DCDFMA;Halomethane;Dichloro(difluoro)methane;/Chemical/Organic/Volatile Organic Compound;200-893-9;75-71-8;;CCl2F2 | A colorless gas usually sold under the brand name Freon-12, and a chlorofluorocarbon halomethane (CFC) used as a refrigerant and aerosol spray propellant. Complying with the Montreal Protocol, its manufacture was banned in developed countries (non
DCE;Chloroethene;1,2-Dichloroethene;/Chemical/Organic/Halocarbon;208-750-2;540-59-0;18882;C2H2Cl2 | Mixture of cis- and trans-isomers of Acetylene Dichloride.
DCEE;Chloroethenes;Bis(chloroethyl) ether;/Chemical/Organic/Volatile Organic Compound;203-870-1;111-44-4;34573;Bis(chloroethyl) ether is considered as a potential carcinogen.
DCMU;Phenylurea;Diuron;/Chemical/Organic/Pesticide;206-354-4;330-54-1;116509;C9H10Cl2N2O | 3-(3,4-Dichlorophenyl)-1,1-dimethylurea - DCMU is a very specific and sensitive inhibitor of photosynthesis. It blocks the plastoquinone binding site of photosystem II, disallowing the electron flow from where it is generated, in photosystem 
DDD;DDD;Total Dichlorodiphenyldichloroethane;/Chemical/Organic/Pesticide;200-783-0;72-54-8;27841;Sum of the Dichlorodiphenyldichloroethane Isomers Rhothane and Mitotane (2,4'-DDD + 4,4'-DDD) in a water sample.
DDT;DDT;Total Dichloro-Diphenyl-Trichloroethanes;/Chemical/Organic/POP;200-024-3;50-29-3;1613;Sum of all DDT related compounds in a water sample.
DECABDE;PBDE;Decabromodiphenylether;/Chemical/Organic/POP;214-604-9;1163-19-5;;C12Br10O | 2,3,4,5,6-Pentabromo-1-(2,3,4,5,6-pentabromophenoxy)benzene - DecaBDE is a flame retardant. The chemical is always used in conjunction with antimony trioxide in polymers, mainly in high impact polystyrene (HIPS) which is used in the television i
DEET;Benzamide;Diethyltoluamide;/Chemical/Organic/Pesticide;205-149-7;134-62-3;7071;N,N-diethyl-3-methylbenzamide
DEHA;Esters;Bis(2-ethylhexyl) adipate;/Chemical/Organic/Volatile Organic Compound;203-090-1;103-23-1;34675;DEHA is used as a hydraulic fluid, and a component of aircraft lubricants. It is sometimes also used as an ingredient in PVC-based plastic wrap.
DEHP;Phthalate;Diethylhexyl Phthalate;/Chemical/Organic;204-211-0;117-81-7;17747;C24H38O4 | Bis(2-ethylhexyl) benzene-1,2-dicarboxylate is the most common member of the class of phthalates, which are used as plasticizers. It is the diester of phthalic acid and the branched-chain 2-ethylhexanol. This colorless viscous liquid is soluble 
DEISOPROPYLATRAZINE;Triazine;Deisopropylatrazine;/Chemical/Organic/Pesticide;623-281-7;1007-28-9;27399;6-chloro-N-ethyl-1,3,5-triazine-2,4-diamine
DESMETRYN;Triazine;Desmetryn;/Chemical/Organic/Pesticide;213-800-1;1014-69-3;82222;4-N-methyl-6-methylsulfanyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine
DETERGENTS;Detergents;Detergents;/Chemical/Organic/Surfactant;;;;A detergent is a surfactant or a mixture of surfactants with cleansing properties in dilute solutions.
DETPTHAL8;Phthalate;Diethyl Phthalate;/Chemical/Organic/Volatile Organic Compound;201-550-6;84-66-2;34698;C12H14O4 | Diethyl benzene-1,2-dicarboxylate | Diethyl phthalate (DEP) is a phthalate ester, namely the diethyl ester of phthalic acid. Solvent for many organic molecules. Often used to bind cosmetics and fragrances. Other industrial uses include plasticiz
DIBTPTHAL8;Phthalate;Bis(2-methylpropyl) benzene-1,2-dicarboxylate;/Chemical/Organic/Volatile Organic Compound;201-553-2;84-69-5;79053;C16H22O4 | Bis(2-methylpropyl) benzene-1,2-dicarboxylate | An odorless plasticiser. Prenatal maternal exposure is associated with substantial harm to intellectual development in children.
DIC;Inorganic Carbon;Dissolved Inorganic Carbon;/Chemical/Nutrient/Carbon;231-153-3;7440-44-0;27594;Carbonate, bicarbonate and dissolved CO2 fractions that passes through a 0.45 µm filter.
DICAMBA;Dicamba;3,6-Dichloro-2-methoxybenzoic acid;/Chemical/Organic/Pesticide;217-635-6;1918-00-9;81856;Dicamba (3,6-dichloro-2-methoxybenzoic acid) is a broad-spectrum herbicide first registered in 1967. Brand names for formulations of this herbicide include Dianat, Banvel, Diablo, Oracle and Vanquish. This chemical compound is a chlorinated derivative of o
DICHLORVOS;Dichlorvos;2,2-Dichlorovinyl dimethyl phosphate;/Chemical/Organic/Pesticide;200-547-7;62-73-7;3469;C4H7Cl2O4P | Widely used as an insecticide to control household pests, in public health, and protecting stored product from insects. The compound has been commercially available since 1961 and has become controversial because of its prevalence in urban wat
DICLOFENAC;Anti-Inflammatory Drug;Diclofenac;/Chemical/Organic/Pharmaceuticals;239-348-5;15307-86-5;47381;2-[(2,6-dichlorophenyl)amino]benzeneacetic acid - Diclofenac, sold under the brand name Voltaren, among others, is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain and inflammatory diseases such as gout. Diclofenac is on the European Union'
DICLOFOP-METHYL;Dichlorobenzene;Diclofop-methyl;/Chemical/Organic/Pesticide;257-141-8;51338-27-3;145412;methyl 2-[4-(2,4-dichlorophenoxy)phenoxy]propanoate | Diclofop-methyl is a selective post-emergence herbicide for control of wild oats and annual grassy weeds found among brassicas, carrots, celery, field beans, french beans, broad beans, barley, wheat, pa
DICOFOL;Dicofol;Dicofol;/Chemical/Organic/POP;204-082-0;115-32-2;34692;2,2,2-trichloro-1,1-bis(4-chlorophenyl)ethanol - Dicofol is an organochlorine pesticide that is chemically related to DDT. Specifically, it is used as a miticide against the red spider mite. Though difocol is not extremely toxic, its use is controverial be
DIELDRIN;Dieldrin;Dieldrin;/Chemical/Organic/POP;200-484-5;60-57-1;34696;C12H8Cl6O, rel-(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene
DIFLUFENICAN;Diflufenican;N-(2,4-difluorophenyl)-2-[3-(trifluoromethyl)phenoxy]pyridine-3-carboxamide;/Chemical/Organic/Pesticide;617-446-2;83164-33-4;81824;C19H11F5N2O2 | Used as a selective contact and residual herbicide.
DIMETHACHLOR;Organochlorine;Dimethachlor;/Chemical/Organic/Pesticide;256-625-6;50563-36-5;81911;2-chloro-N-(2,6-dimethylphenyl)-N-(2-methoxyethyl)acetamide
DIMETHENAMID;Dimethenamid;Dimethenamid;/Chemical/Organic/Pesticide;618-045-5;87674-68-8;81789;2-Chloro-N-(2,4-dimethyl-3-thienyl)-N-(2-methoxy-1-methylethyl)acetamide | Dimethenamid is a widely used herbicide. In 2001, about 7 million pounds of dimethenamid were used in the United States. Dimethenamid is registered for control of annual grasses, ce
DIMETHOATE;Organothiophosphate;Dimethoate;/Chemical/Organic/Pesticide;200-480-3;60-51-5;34714;O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] dithiophosphate | Dimethoate is a widely used organophosphate insecticide and acaricide. It was patented and introduced in the 1950s by American Cyanamid. Like other organophosphates, dimethoate is an acetylcholi
DIMETHOMORPH;Dimethomorph;Dimethomorph;/Chemical/Organic/Pesticide;404-200-2;110488-70-5;81848;3-(4-chlorophenyl)-3-(3,4-dimethoxyphenyl)-1-morpholin-4-ylprop-2-en-1-one | Dimethomorph is a fungicide with systemic function. It is used for treating mildew and root rot caused by organisms such as Pythium and Phytophthora species. (source: https://en.w
DIMOXYSTROBIN;Strobilurin;Dimoxystrobin;/Chemical/Organic/Pesticide;604-712-8;149961-52-4;83218;(2E)-2-{2-[(2,5-dimethylphenoxy)methyl]phenyl}-2-(methoxyimino)-N-methylacetamide - Dimoxystrobin is mainly used as a cereal fungicide. It has a low aqueous solubility and a low volatility. It can be persistent in both soil and water systems. It is highly 
