Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
TCE;Chloroethenes;Trichloroethene;/Chemical/Organic/Volatile Organic Compound;201-167-4;79-01-6;16602;C2HCl3 | Also known as Trichloroethylene. A halocarbon commonly used as an industrial solvent. Groundwater and drinking water contamination from industrial discharge is a major concern for human health and has precipitated numerous incidents and lawsuits.
TCFMA;Halomethane;Trichloro(fluoro)methane;/Chemical/Organic/Volatile Organic Compound;200-892-3;75-69-4;48236;CCl3F | A colorless, faint ethereal, and sweetish-smelling liquid that boils around room temperature  sold under the brand name Freon-11. It is  a chlorofluorocarbon halomethane (CFC) used as a refrigerant. R-11 is assigned an ozone depletion potential of 
TCMA;Chloroform;Trichloromethane;/Chemical/Organic/Halocarbon;200-663-8;67-66-3;35255;CHCl3 | A colorless, sweet-smelling, dense liquid that is produced on a large scale as a precursor to PTFE. It is also a precursor to various refrigerants. It is one of the four chloromethanes and a trihalomethane. It is a powerful anesthetic, euphoriant, 
TCMTB;Benzothiazole;2-(Thiocyanomethylthio)benzothiazole;/Chemical/Organic/Pesticide;244-445-0;21564-17-0;;1,3-benzothiazol-2-ylsulfanylmethyl thiocyanate | TCMTB is used as wideband microbicide, paint fungicide, and paint gallicide. The active substance approved in 1980 in the United States. It is used, for example, in leather preservation, for the protection 
TCP;Cyclodiene Pesticide;Total cyclodiene pesticides (aldrin + dieldrin + endrin + isodrin);/Chemical/Organic/Pesticide;;;;Sum of Aldrin, Dieldrin, Endrin and Isodrin Pesticides, which are pesticides derived from Hexachlorocyclopentadiene and are under the Stockholm Convention on Persistent Organic Pollutants.
TCS;Phenol;Triclosan;/Chemical/Organic/Phenyl;222-182-2;3380-34-5;1642;5-chloro-2-(2,4-dichlorophenoxy)phenol -
TDN;Total Nitrogen;Total Dissolved Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Organic and inorganic nitrogen fractions in filtered samples, reported as nitrogen.
TDP;Phosphorus;Total Dissolved Phosphorus;/Chemical/Nutrient/Phosphorus;231-768-7;7723-14-0;28659;Phosphate fractions in filtered samples responding to colorimetric tests after oxidative digestion (including dissolved reactive, acid-hydrolyzable and organic phosphates), reported as phosphorus.
TDS;Dissolved Solids;Total Dissolved Solids;/Physical/Water/Solids;;;;Portion of solids that passes through a filter.
TEBUCONAZOLE;Triazole;Tebuconazole;/Chemical/Organic/Pesticide;81781;107534-96-3;403-640-2;rac-1-(4-chlorophenyl)-4,4-dimethyl-3-(1H-1,2,4-triazol-1-ylmethyl)pentan-3-ol | Tebuconazole is a triazole fungicide used agriculturally to treat plant pathogenic fungi. Though the U.S. Food and Drug Administration considers this fungicide to be safe for 
TEBUTHIURON;Urea;Tebuthiuron;/Chemical/Organic/Pesticide;251-793-7;34014-18-1;81745;1-(5-tert-Butyl-1,3,4-thiadiazol-2-yl)-1,3-dimethylurea | Tebuthiuron is a nonselective broad spectrum herbicide of the urea class. It is used in a number of herbicides manufactured by Dow AgroSciences, and is sold under several trade names, depending on t
TEMP;Temperature;Water Temperature;/Physical/Temperature;;;;Ambient temperature of the water.
TEMP-Air;Temperature;Air Temperature;/Physical/Temperature;;;;Ambient temperature of the air.
TERBUFOS;Organothiophosphate;Terbufos;/Chemical/Organic/Pesticide;235-963-8;13071-79-9;3896;O,O-Diethyl S-{[(2-methyl-2-propanyl)sulfanyl]methyl} phosphorodithioate | Terbufos is a chemical compound used in insecticides and nematicides. Terbufos is part of the chemical family of organophosphates. It is a clear, colourless to pale yellow or reddis
TERBUTHYLAZINE;Terbuthylazine;Terbuthylazine;/Chemical/Organic/Pesticide;227-637-9;5915-41-3;30263;C9H16ClN5 | N-tert-butyl-6-chloro-N'-ethyl-1,3,5-triazine-2,4-diamine - A selective herbicide.
TERBUTRYN;Terbutryn;1,3,5-Triazine-2,4-diamine;/Chemical/Organic/Pesticide;212-950-5;886-50-0;44156;C10H19N5S | An Algaecide.
TERBUTYLAZINE-DESETHYL;Triazine;Terbutylazine-Desethyl;/Chemical/Organic/Pesticide;634-816-9;30125-63-4;83522;N-tert-butyl-6-chloro-1,3,5-triazine-2,4-diamine
TETRALIN;Tetralin;1,2,3,4-tetrahydronaphthalene;/Chemical/Organic/PAH;204-340-2;119-64-2;35008;C10H12 | A partially hydrogenated derivative of naphthalene. It is a colorless liquid that is used as a hydrogen-donor solvent, for example in coal liquifaction. (source: https://en.wikipedia.org/wiki/Tetralin)
THIACLOPRID;Neonicotinoid;Thiacloprid;/Chemical/Organic/Pesticide;601-147-9;111988-49-9;39176;{(2Z)-3-[(6-Chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene}cyanamide
THIFENSULFURON;Sulfonylurea;Thifensulfuron;/Chemical/Organic/Pesticide;;79277-67-1;132053;3-{[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoyl]sulfamoyl}thiophene-2-carboxylic acid
THMs;Trihalomethanes;Trihalomethanes;/Chemical/Organic/Halocarbon;;;;Trihalomethanes (THMs) are chemical compounds in which three of the four hydrogen atoms of methane (CH4) are replaced by halogen atoms. Many trihalomethanes find uses in industry as solvents or refrigerants. THMs are also environmental pollutants, and many
TIC;Inorganic Carbon;Total Inorganic Carbon;/Chemical/Nutrient/Carbon;231-153-3;7440-44-0;27594;Carbonate, bicarbonate and dissolved CO2 fractions in an unfiltered sample.
TIN;Inorganic Nitrogen;Total Inorganic Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Sum of Nitrite (NO2N), Nitrate (NO3N) and Total Ammonia Nitrogen (NH4N) in unfiltered samples.
TIP;Phosphate;Total Inorganic Phosphorus;/Chemical/Nutrient/Phosphorus;604-302-9;14265-44-2;18367;Phosphate fractions in unfiltered samples responding to colorimetric tests after acid-hydrolysis (including total reactive and acid-hydrolyzable phosphates), reported as phosphorus.
